,guid,english,greek,n_s,n_p,a_s,a_p,g_s,g_p,gender,tag,sub tag 1,sub tag 2
0,w]qJY!`5)6,adult (f),ενήλικη,η,ες,η,ες,ης,ών,feminine,person,,
1,C&8M86~.&c,adult (m),ενήλικος,ος,οι,ο,ους,ου,ων,masculine,person,,
2,PJY2pf9k3y,afternoon,απόγευμα,α,ατα,α,ατα,ατος,άτων,neuter,time,day,
3,Eg]}g(hx:7,age,ηλικία,α,ες,α,ες,ας,ών,feminine,,,
4,n7P6t6Rm3T,airplane,αεροπλάνο,ο,α,ο,α,ου,ων,neuter,transport,,
5,hoIF0nrwZM,airport,αεροδρόμιο,ο,α,ο,α,ου,ων,neuter,transport,,
6,hL)cxICf?2,alarm clock,ξυπνητήρι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,bedroom
7,Q;{?xp}{RZ,ankle,αστράγαλος,ος,οι,ο,ους,ου,ων,masculine,body,,
8,KgYjwbo2vK,apple,μήλο,ο,α,ο,α,ου,ων,neuter,food,fruit,
9,h##6:U;ijo,April,Απρίλιος,ος,οι,ο,ους,ου,ων,masculine,time,months,
10,7ZNEuFeJhP,attic,σοφίτα,α,ες,α,ες,ας,ών,feminine,home,area,
11,jN?cq#t?)=,August,Αύγουστος,ος,οι,ο,ους,ου,ων,masculine,time,months,
12,fFK9wwqv~j,aunt,θεία,α,ες,α,ες,ας,ών,feminine,person,,
13,9411G0wLqE,avocado ,αβοκάντο,ο,α,ο,α,ου,ων,neuter,food,fruit,
14,A6uu0:tGUE,baby,μωρό,ό,ά,ό,ά,ού,ών,neuter,person,,
15,p>kN9!S>&y,back (of body),πλάτη,η,ες,η,ες,ης,ών,feminine,body,,
16,k4uRhF{PJE,backpack,σακίδιο,ο,α,ο,α,ου,ων,neuter,school,,
17,rg8bjhXKY~,bag,τσάντα,α,ες,α,ες,ας,ών,feminine,school,,
18,HiOSt2G6rk,banana ,μπανάνα,α,ες,α,ες,ας,ών,feminine,food,fruit,
19,2MyL17fcBL,bank,τράπεζα,α,ες,αν,ες,ας,ών,feminine,city,buildings,
20,qy3mobyPmX,"basement, cellar ",υπόγειο,ο,α,ο,α,ου,ων,neuter,home,area,
21,TSTc4QL80b,bathroom ,τουαλέτα,α,ες,α,ες,ας,ών,feminine,home,area,
22,lf0z3FKV4t,"beach, coast, shore",παραλία,α,ες,α,ες,ας,ών,feminine,nature ,,
23,RNQu1KMdEO,bean,φασόλι,ι,ια,ι,ια,ιού,ιών,neuter,food,,
24,XRpszBkuV4,bear,αρκούδα,α,ες,α,ες,ας,ων,feminine,animal,,
25,"h,H37fQ/Wp",bed,κρεβάτι,ι,ια,ι,ια,ιού,ιών,neuter,home,area,bedroom
26,bRc3AtLz1K,bedroom,υπνοδωμάτιο,ο,α,ο,α,ου,ων,neuter,home,area,
27,dkgF5H1ejb,bee,μέλισσα,α,ες,α,ες,ας,ών,feminine,animal,insect,
28,xpL!^dU5WW,bell,καμπάνα,α,ες,α,ες,ας,ών,feminine,,,
29,iOfRyPa_B?,belt,ζώνη,η,ες,η,ες,ης,ών,feminine,clothing,,
30,ipX;ZL|NKs,best man,κουμπάρος,ος,οι,ο,ους,ου,ων,masculine,person,,
31,EmdG*wfWi~,best woman,κουμπάρα,α,ες,α,ες,ας,ών,feminine,person,,
32,7dN5qvff8F,bike,ποδήλατο,ο,α,ο,α,ου,ων,neuter,transport,,
33,IR*l2k2)$j,bird,πουλί,ί,ιά,ί,ιά,ιού,ιών,neuter,animal,,
34,WRBlrCNcCB,blackberry,μπατόμουρο,ο,α,ο,α,ου,ων,neuter,food,fruit,
35,lT9~gdUJ>F,blanket,κουβέρτα,α,ες,α,ες,ας,ών,feminine,home,area,bedroom
36,H_FwPM<|Ha,blouse,μπλούζα,α,ες,α,ες,ας,ών,feminine,clothing,,
37,My>D-PbltI,board,πίνακας,ας,ες,α,ες,α,ων,masculine,school,,
38,oDknamN7Tx,body,σώμα,α,ατα,α,ατα,ατος,άτων,neuter,body,,
39,A7AOdpF5hL,bone,κόκκαλο,ο,α,ο,α,ου,ων,neuter,body,,
40,w#}~Uyy1c4,book,βιβλίο,ο,α,ο,α,ου,ων,neuter,school,,
41,g^mW#sr.x&,boot,μπότα,α,ες,α,ες,ας,ών,feminine,clothing,,
42,shRce4$#Z/,bowl,μπολ,-,-,-,-,-,-,neuter,home,area,kitchen
43,xeE;_B-1IO,box,κουτί,ί,ιά,ί,ιά,ιού,ιών,neuter,home,area,bedroom
44,tE+DIcx6Vf,boy,αγόρι,ι,ια,ι,ια,ιού,ιών,neuter,person,,
45,wXfsgQSs-%,bread,ψωμί,ί,ιά,ί,ιά,ιού,ιών,neuter,food,,
46,vTdPoSYIqT,breakfast,πρωινό,ό,ά,ό,ά,ού,ών,neuter,food,,
47,MMTZCkpJZD,brick,τούβλο,ο,α,ο,α,ου,ων,neuter,,,
48,VHyJCifCYE,bridge,γέφυρα,α,ες,α,ες,ας,ών,feminine,city,,
49,DuxaYMppJK,broccoli ,μπρόκολο,ο,α,ο,α,ου,ων,neuter,food,vegetables,
50,wFhTeUgqYp,broom,σκούπα,α,ες,α,ες,ας,ών,feminine,home,,
51,i+efxy`5vd,brother,αδελφός,ός,οί,όν,ούς,ού,ών,masculine,person,,
52,XfMoPWOKf3,bruch,βούρτσα,α,ες,α,ες,ας,ών,feminine,home,,
53,SbnRoe7QlA,bucket,κουβάς,άς,άδες,ά,άδες,ά,άδων,masculine,home,,
54,RtVXdujQVH,bus,λεωφορείο,ο,α,ο,α,ου,ων,neuter,transport,,
55,arLz12fryb,bus station,σταθμός λεωφορείων,ν,νες,να,νες,νος,νων,masculine,transport,,
56,TqSrIKJnn9,"bush, shrub",θάμνος,ος,οι,ο,ους,ου,ων,masculine,nature,,
57,w6MUgdYWza,butter,βούτυρο,ο,α,ο,α,ου,ων,neuter,food,,
58,qGKaZZINDs,butterfly,πεταλούδα,α,ες,α,ες,ας,ων,feminine,animal,insect,
59,x0Fm0gA3Gl,cabbage,λάχανο,ο,α,ο,α,ου,ων,neuter,food,vegetable,
60,BetVB1LWfy,"canal, channel",κανάλι,ι,ια,ι,ια,ιού,ιών,neuter,city,,
61,z!xlld$lxH,cap/beanie,σκουφί,ί,ιά,ί,ιά,ιού,ιών,neuter,clothing,,
62,bJzEQs3L0e,car,αυτοκίνητο,ο,α,ο,α,ου,ων,neuter,transport,,
63,yRitOc8iec,carrot,καρότο,ο,α,ο,α,ου,ων,neuter,food,vegetables,
