,GUID,English,Greek,Part of Speach,Gender,Tag,Sub Tag 1,Sub Tag 2
0,IR*l2k2)$j,bird,πουλί,noun,neuter,animal,bird,
1,c0D/(HLlm#,cat,γάτα,noun,feminine,animal,,
2,u8IL2fYVid,chicken,κότα,noun,feminine,animal,,
3,t+d0cl!/(i,dog,σκύλος,noun,masculine,animal,,
4,fr(EW-:Un:,horse,άλογο,noun,neuter,animal,,
5,.G2pqAlh!,mouse,ποντίκι,noun,neuter,animal,,
6,oCXoVI3+b?,rabbit,κουνέλι,noun,neuter,animal,,
7,XRpszBkuV4,bear,αρκούδα,noun,feminine,animal,,
8,dkgF5H1ejb,bee,μέλισσα,noun,feminine,animal,insect,
9,qGKaZZINDs,butterfly,πεταλούδα,noun,feminine,animal,insect,
10,X0VHNAb1ka,cow,αγελάδα,noun,feminine,animal,,
11,FX7UYPdUax,donkey,γάιδαρος,noun,masculine,animal,,
12,Q;{?xp}{RZ,ankle,αστράγαλος,noun,masculine,body,,
13,p>kN9!S>&y,back (of body),πλάτη,noun,feminine,body,,
14,"El?Jd_,d8N",cheek,μάγουλο,noun,neuter,body,,
15,zby*ceVAP`,chin,σαγόνι,noun,neuter,body,,
16,fj:MJ#z([+,ear,αυτί,noun,neuter,body,,
17,^_GDDfT2u,elbow,αγκώνας,noun,masculine,body,,
18,L`NOO[gy0j,eye,μάτι,noun,neuter,body,,
19,bFyd+?NS^U,eyebrow,φρύδι,noun,neuter,body,,
20,oBd>/X0rp`,eyelash,βλεφαρίδα,noun,feminine,body,,
21,q$8}kIJxS*,eyelid,βλέφαρο,noun,neuter,body,,
22,O)](5[!}{&,face,πρόσωπο,noun,neuter,body,,
23,jNCvKPg!X8,finger/toe,δάχτυλο,noun,neuter,body,,
24,iT6<6/Vef2,forehead,μέτωπο,noun,neuter,body,,
25,h!c[fFCUE^,hair,μαλλιά,noun,neuter pl.,body,,
26,iHCJ&uCw*J,hand/arm,χέρι,noun,neuter,body,,
27,N=GM2~4Sp/,head,κεφάλι,noun,neuter,body,,
28,JLbN:1;*LG,heel (foot),φτέρνα,noun,feminine,body,,
29,k:)4Eh6-_,knee,γόνατο,noun,neuter,body,,
30,C%`jZRI@}Z,leg/foot,πόδι,noun,neuter,body,,
31,vKc}&AQloH,lips,χείλια,noun,neuter pl.,body,,
32,D5niDXDDm7,mind,μυαλό,noun,neuter,body,,
33,qEZ%~p<4+m,mouth,στόμα,noun,neuter,body,,
34,srqv%ZU.Nt,nail,νύχι,noun,neuter,body,,
35,L?BPP}ARoc,neck,λαιμός,noun,masculine,body,,
36,AT-%.bk3iq,nose,μύτη,noun,feminine,body,,
37,I*HNUS@}Yh,shoulder,ώμος,noun,masculine,body,,
38,m8lMG+;oQa,stomach,κοιλιά,noun,feminine,body,,
39,qv}DhOZL6i,teeth,δόντια,noun,neuter pl.,body,,
40,xUX}`i[U%%,toung,γλώσσα,noun,feminine,body,,
41,A7AOdpF5hL,bone,κόκκαλο,noun,neuter,body,,
42,oDknamN7Tx,body,σώμα,noun,neuter,body,,
43,asX9JQrMsf,post office,ταχυδρομείο,noun,neuter,city,buildings,
44,evMSrMu4Vt,police station,αστυνομικό τμήμα,noun,neuter,city,buildings,
45,teNmzWpIri,fire station,πυροσβεστικός σταθμός,noun,masculine,city,buildings,
46,2MyL17fcBL,bank,τράπεζα,noun,feminine,city,buildings,
47,VHyJCifCYE,bridge,γέφυρα,noun,feminine,city,,
48,92snebynKB,road,δρόμος,noun,masculine,city,,
49,BetVB1LWfy,"canal, channel",κανάλι,noun,neuter,city,,
50,UtmOz4ukUM,"center, centre",κέντρο,noun,neuter,city,,
51,VxttmnrwoG,city,πόλη,noun,feminine,city,,
52,Flf9Kp6ftW,hotel,ξενοδοχείο,noun,neuter,city,buildings,
53,iOfRyPa_B?,belt,ζώνη,noun,feminine,clothing,,
54,H_FwPM<|Ha,blouse,μπλούζα,noun,feminine,clothing,,
55,g^mW#sr.x&,boot,μπότα,noun,feminine,clothing,,
56,z!xlld$lxH,cap/beanie,σκουφί,noun,neuter,clothing,,
57,bTfqUok[[Y,coat,παλτό,noun,neuter,clothing,,
58,gv}sH-Vi3k,dress,φόρεμα,noun,neuter,clothing,,
59,d%FA&nM@@X,flip-flop,σαγιονάρα,noun,feminine,clothing,,
60,cK2`b-wj-k,glasses,γυαλιά,noun,feminine,clothing,,
61,sdTwV/e}J_,glove,γάντι,noun,neuter,clothing,,
62,kMEE?NH2*^,hat,καπέλο,noun,neuter,clothing,,
63,u*z@jxeTpg,heavy jacket,μπουφάν,noun,neuter,clothing,,
64,cDzk#U4>_V,heel (shoe),τακούνι,noun,neuter,clothing,,
65,N3ToOG4u)P,jacket,ζακέτα,noun,feminine,clothing,,
66,"E_A0D,}bY1",nightgown,νυχτικό,noun,neuter,clothing,,
67,DKd+OSCk}V,pants,παντελόνι,noun,neuter,clothing,,
68,"L1)Q,X)><,",pyjama,πιτζάμα,noun,feminine,clothing,,
69,nBFj={LV@8,"robe, dressing gown",ρόμπα,noun,feminine,clothing,,
70,B/3oi|7m&:,sandal,πέδιλο,noun,neuter,clothing,,
71,s1-6NURnuS,scarf,κασκόλ,noun,neuter,clothing,,
72,f(y@1*hyrF,shirt,πουκάμισο,noun,neuter,clothing,,
73,xo$Hl*1234,shoe,παπούτσι,noun,neuter,clothing,,
74,"1R({,qb81",shorts,σορτς,noun,neuter,clothing,,
75,i1mD_?i`G|,singlet,φανέλα,noun,feminine,clothing,,
76,nMN3v[oRHz,skirt,φούστα,noun,feminine,clothing,,
77,n-72P:2%_|,sleeve,μανίκι,noun,neuter,clothing,,
78,H/^hoRU@$y,slipper,παντόφλα,noun,feminine,clothing,,
79,"w,DjKQ&VG5",sneaker (athletic shoe),αθλητικά παπούτσι,noun,neuter,clothing,,
80,j]S{*(2JC8,sock,κάλτσα,noun,feminine,clothing,,
81,hrHQuXgwse,stocking/tights,καλτσόν,noun,neuter,clothing,,
82,z=^N[|CpVt,suit jacket/blazer,σακάκι,noun,neuter,clothing,,
83,JIM`>xd3o{,sweater,πουλόβερ,noun,neuter,clothing,,
84,g0|e4d*IZ|,swimsuit,μαγιό,noun,neuter,clothing,,
85,KQI9M18>-2,t-shirt,κοντομάνικο,noun,neuter,clothing,,
86,tDRDEtbB^#,straw (drinking),καλαμάκι,noun,neuter,drink,,
87,f}.h}O0j[(,water,νερό,noun,neuter,drink,,
88,fh*52GMn*`,wine,κρασί,noun,neuter,drink,,
89,wXfsgQSs-%,bread,ψωμί,noun,neuter,food,,
90,h@=wr@i=R#,cheese,τυρί,noun,neuter,food,,
91,ro5wnp9i67,fish,ψάρι,noun,neuter,food,,
92,x/TbOJv1L|,meat,κρέας,noun,masculine,food,,
93,n|vte(PsZ?,olive,ελιά,noun,feminine,food,,
94,JUynxyC7Fq,cucumber ,αγγούρι,noun,neuter,food,vegetables,
95,syRV6fBymD,onion ,κρεμμύδι,noun,neuter,food,vegetables,
96,t4GYv4nwK3,garlic,σκόρδο,noun,neuter,food,vegetables,
97,nH2shxDScg,pepper,πιπέρι,noun,neuter,food,vegetables,
98,yRitOc8iec,carrot,καρότο,noun,neuter,food,vegetables,
99,DuxaYMppJK,broccoli ,μπρόκολο,noun,neuter,food,vegetables,
100,IrUK9VTUXE,spinach ,σπανάκι,noun,neuter,food,vegetables,
101,TazUdMzlq5,tomato ,ντομάτα,noun,feminine,food,vegetables,
102,t8tOsJibKu,potato ,πατάτα,noun,feminine,food,vegetables,
103,GYxBYErz7r,lettuce ,μαρούλι,noun,neuter,food,vegetables,
104,KgYjwbo2vK,apple,μήλο,noun,neuter,food,fruit,
105,HiOSt2G6rk,banana ,μπανάνα,noun,feminine,food,fruit,
106,cJAU7GNkap,strawberry ,φράουλα,noun,feminine,food,fruit,
107,p9Am4GP40E,orange,πορτοκάλι,noun,neuter,food,fruit,
108,TRvthID1CQ,grape,σταφύλι,noun,neuter,food,fruit,
109,fLKPnNuaF4,watermelon ,καρπούζι,noun,neuter,food,fruit,
110,m2YZANsPWn,pineapple ,ανανάς,noun,masculine,food,fruit,
111,RqpWoQfHmV,mango,μάνγκο,noun,neuter,food,fruit,
112,9411G0wLqE,avocado ,αβοκάντο,noun,neuter,food,fruit,
113,JWKAcM55px,kiwi ,ακτινίδιο,noun,neuter,food,fruit,
114,SDytdzqld6,cherry,κεράσι,noun,neuter,food,fruit,
115,vTdPoSYIqT,breakfast,πρωινό,noun,neuter,food,,
116,qp4Sn48IOE,lunch,μεσημεριανό,noun,neuter,food,,
117,4uLyRehr87,dinner,δείπνο,noun,neuter,food,,
118,RNQu1KMdEO,bean,φασόλι,noun,neuter,food,,
119,WRBlrCNcCB,blackberry,μπατόμουρο,noun,neuter,food,fruit,
120,w6MUgdYWza,butter,βούτυρο,noun,neuter,food,,
121,x0Fm0gA3Gl,cabbage,λάχανο,noun,neuter,food,vegetable,
122,xARO$#Rf@N,razor,ξυράφι,noun,neuter,home,area,bathroom
123,"HlVgN<,JVY",shower,ντους,noun,neuter,home,area,bathroom
124,ztA@3](r?Q,soap,σαπούνι,noun,neuter,home,area,bathroom
125,l!a7)G;HD#,sponge,σφουγγάρι,noun,neuter,home,area,bathroom
126,CziDmPLh!h,toilet,τουαλέτα,noun,feminine,home,area,bathroom
127,t/y-W0[zKI,toothbrush,οδοντόβουρτσα,noun,feminine,home,area,bathroom
128,jPcOo:Ve5k,toothpaste,οδοντόκρεμα,noun,feminine,home,area,bathroom
129,K5I#y/{?I:,towel,πετσέτα,noun,feminine,home,area,bathroom
130,hL)cxICf?2,alarm clock,ξυπνητήρι,noun,neuter,home,area,bedroom
131,"h,H37fQ/Wp",bed,κρεβάτι,noun,neuter,home,area,bedroom
132,lT9~gdUJ>F,blanket,κουβέρτα,noun,feminine,home,area,bedroom
133,xeE;_B-1IO,box,κουτί,noun,neuter,home,area,bedroom
134,k!UZ71d9GX,closet,ντουλάπα,noun,feminine,home,area,bedroom
135,"N3H1eLo#,9",curtain,κουρτίνα,noun,feminine,home,area,bedroom
136,w$^((LwMz!,drawer,συρτάρι,noun,neuter,home,area,bedroom
137,PiIP<a{&+V,lamp,λάμπα,noun,feminine,home,area,bedroom
138,D`NcO{`I/y,mattress,στρώμα,noun,neuter,home,area,bedroom
139,ksY33tZbQ~,mirror,καθρέφτης,noun,masculine,home,area,bedroom
140,C_l-vpDoP!,nightstand,κομοδίνο,noun,neuter,home,area,bedroom
141,u{/C+7r^t=,pillow,μαξιλάρι,noun,neuter,home,area,bedroom
142,qIxQW7epCL,rug/carpet,χαλί,noun,neuter,home,area,bedroom
143,Fu]RYOeY+_,sheet,σεντόνι,noun,neuter,home,area,bedroom
144,u>O93dLI7O,toy,παιχνίδι,noun,neuter,home,area,bedroom
145,shRce4$#Z/,bowl,μπολ,noun,neuter,home,area,kitchen
146,nPryn5}1Z5,cup (larger),κούπα,noun,feminine,home,area,kitchen
147,d%[pz2@~$o,cup (smaller for tea or coffee),φλιτζάνι,noun,neuter,home,area,kitchen
148,v%D:=!-cIg,cutting board,σανίδα κοπής,noun,feminine,home,area,kitchen
149,"zrDY[,S,RU",fork,πιρούνι,noun,neuter,home,area,kitchen
150,*[0\5vrn{Q,freezer,κατάψυξη,noun,feminine,home,area,kitchen
151,yU)Sdu5UV%,glass,ποτήρι,noun,neuter,home,area,kitchen
152,s0<}2Of7;,knife,μαχαίρι,noun,neuter,home,area,kitchen
153,pRNJ^{&kq_,measuring cup,δοσομετρητής,noun,masculine,home,area,kitchen
